unique_line,total_occurrences
Has applied for a Common Victualler License to be exercised on the above - L- shaped service,1
"Has applied for a Common Victualler License to be exercised on the above - Lobby, food",1
Has applied for a Common Victualler License to be exercised on the above - On,1
Has applied for a Common Victualler License to be exercised on the above - On premises also,1
Has applied for a Common Victualler License to be exercised on the above - On two,1
Has applied for a Common Victualler License to be exercised on the above - One 524SF room on the,1
"Has applied for a Common Victualler License to be exercised on the above - One floor, BOH storage",1
Has applied for a Common Victualler License to be exercised on the above - One room on the first,1
Has applied for a Common Victualler License to be exercised on the above - Pizza,1
Has applied for a Common Victualler License to be exercised on the above - Premise known as 49 Pier,1
Has applied for a Common Victualler License to be exercised on the above - Premise located at 577A,1
Has applied for a Common Victualler License to be exercised on the above - Premises (EXP) is,1
Has applied for a Common Victualler License to be exercised on the above - Prep,1
"Has applied for a Common Victualler License to be exercised on the above - Restaurant,",1
Has applied for a Common Victualler License to be exercised on the above - Smoothie,1
Has applied for a Common Victualler License to be exercised on the above - Take out restaurant,1
"Has applied for a Common Victualler License to be exercised on the above - The 1,370SF Single-story",1
Has applied for a Common Victualler License to be exercised on the above - The premises consist of,1
Has applied for a Common Victualler License to be exercised on the above - The premises located at 53,1
Has applied for a Common Victualler License to be exercised on the above - Two,1
Has applied for a Common Victualler License to be exercised on the above - a Grab-and-go market,1
Has applied for a Common Victualler License to be exercised on the above - approximately 567 sq ft,1
"Has applied for a Common Victualler License to be exercised on the above -1,000SF pizza and subs",1
"Has applied for a Common Victualler License to be exercised on the above -1,023SF Ground level ice",1
"Has applied for a Common Victualler License to be exercised on the above -1,046SF Commercial space",1
"Has applied for a Common Victualler License to be exercised on the above -1,100SF Main Floor, one",1
"Has applied for a Common Victualler License to be exercised on the above -1,200SF Café shop that",1
"Has applied for a Common Victualler License to be exercised on the above -1,212 SF Full-service",1
"Has applied for a Common Victualler License to be exercised on the above -1,484SF Fast service",1
"Has applied for a Common Victualler License to be exercised on the above -1,804SF Single-floor space,",1
Has applied for a Common Victualler License to be exercised on the above -1075 SF Bubble Tea Shop,1
"Has applied for a Common Victualler License to be exercised on the above -1st Floor – 2,200SF",1
"Has applied for a Common Victualler License to be exercised on the above -2,002SF of the entire",1
"Has applied for a Common Victualler License to be exercised on the above -2,373SF Full-service",1
"Has applied for a Common Victualler License to be exercised on the above -2,891SF Located on the",1
Has applied for a Common Victualler License to be exercised on the above -200SF Takeout-only,1
"Has applied for a Common Victualler License to be exercised on the above -4,723SF restaurant with a",1
"Has applied for a Common Victualler License to be exercised on the above -4,728SF Restaurant space",1
"Has applied for a Common Victualler License to be exercised on the above -650 SF,",1
Has applied for a Common Victualler License to be exercised on the above -737SF Take-out bagel shop,1
"Has applied for a Common Victualler License to be exercised on the above -750SF Ground-floor,",1
Has applied for a Common Victualler License to be exercised on the above -760SF Bubble tea shop with,1
"Has applied for a Common Victualler License to be exercised on the above -798SF Cafe, which",1
Has applied for a Common Victualler License to be exercised on the above -800SF Take-out only tea,1
Has applied for a Common Victualler License to be exercised on the above -849 SF quick service,1
Has applied for a Common Victualler License to be exercised on the above -875SF First-floor unit. The,1
Has applied for a Common Victualler License to be exercised on the above -925SF Single floor with a,1
Has applied for a Common Victualler License to be exercised on the above -969SF Sit-in and take-away,1
Has applied for a Common Victualler License to be exercised on the above -A 400 SF area which,1
Has applied for a Common Victualler License to be exercised on the above -Approximately 325 square,1
Has applied for a Common Victualler License to be exercised on the above -Approximately 482 square,1
Has applied for a Common Victualler License to be exercised on the above -Approximately 704 square,1
Has applied for a Common Victualler License to be exercised on the above -Bubble tea shop and cream,1
Has applied for a Common Victualler License to be exercised on the above -Coffee Bar with single,1
Has applied for a Common Victualler License to be exercised on the above -Coffee Cafe on one floor,1
Has applied for a Common Victualler License to be exercised on the above -Kiosk Kitchen #6 Located,1
Has applied for a Common Victualler License to be exercised on the above -Single-story quick-serve,1
Has applied for a Common Victualler License to be exercised on the above -Small bakery/cafe,1
Has applied for a Common Victualler License to be exercised on the above -We are a vendor in Hub,1
"Has applied for a Common Victualler License to be exercised on the above : 2,560 SF ground coffee",1
Has applied for a Common Victualler License to be exercised on the above : First floor open space,1
Has applied for a Common Victualler License to be exercised on the above : One floor with kitchen,1
Has applied for a Common Victualler License to be exercised on the above : One room on the first,1
Has applied for a Common Victualler License to be exercised on the above : Premise consists of 700 SF,1
Has applied for a Common Victualler License to be exercised on the above : Two rooms on the,1
"Has applied for a Common Victualler License to be exercised on the above in one room, service",1
"Has applied for a Common Victualler License to be exercised on the above ‑ 2,823SF One room first",1
Has applied for a Common Victualler License to be exercised on the above ‑1 level building with 26,1
"Has applied for a Common Victualler License to be exercised on the above ‑1,100SF: one floor with",1
Has applied for a Common Victualler License to be exercised on the above ‑1380 SF on lower,1
Has applied for a Common Victualler License to be exercised on the above ‑202SF food stall located on,1
"Has applied for a Common Victualler License to be exercised on the above ‑4,550SF, first floor with",1
"Has applied for a Common Victualler License to be exercised on the above ‑First floor, 1 room, kitchen",1
"Has applied for a Common Victualler License to be exercised on the above ‑First floor, Handicap",1
"Has applied for a Common Victualler License to be exercised on the above ‑First floor: Deli counter,",1
Has applied for a Common Victualler License to be exercised on the above ‑Full service,1
Has applied for a Common Victualler License to be exercised on the above ‑Full‑ Service,1
"Has applied for a Common Victualler License to be exercised on the above ‑Ground floor, seating area,",1
"Has applied for a Common Victualler License to be exercised on the above ‑Kitchen, prep. area,",1
Has applied for a Common Victualler License to be exercised on the above ‑One room on the first floor.,1
"Has applied for a Common Victualler License to be exercised on the above ‑Shipping container,",1
Has applied for a Common Victualler License to be exercised on the above ‑Single floor building with,1
Has applied for a Common Victualler License to be exercised on the above ‑Wtea occupies a,1
Has applied for a Common Victualler License to be exercised on the above –,1
"Has applied for a Common Victualler License to be exercised on the above – 1,000 sq. ft.",1
Has applied for a Common Victualler License to be exercised on the above – 1st Floor ground level,1
"Has applied for a Common Victualler License to be exercised on the above – 1st floor, café, kitchen",1
Has applied for a Common Victualler License to be exercised on the above – 698 Sq. Ft. on the first floor of,1
Has applied for a Common Victualler License to be exercised on the above – 698 Sq. Ft. on the first floor of MassArt,1
Has applied for a Common Victualler License to be exercised on the above – Cafe on 1 floor with,1
Has applied for a Common Victualler License to be exercised on the above – Cafe on one floor with,1
Has applied for a Common Victualler License to be exercised on the above – Café and,1
Has applied for a Common Victualler License to be exercised on the above – Fast casual restaurant serving,1
Has applied for a Common Victualler License to be exercised on the above – First,1
Has applied for a Common Victualler License to be exercised on the above – First floor cafe with a small,1
Has applied for a Common Victualler License to be exercised on the above – First floor contains 5,1
Has applied for a Common Victualler License to be exercised on the above – First floor customer,1
Has applied for a Common Victualler License to be exercised on the above – First floor kitchen,1
"Has applied for a Common Victualler License to be exercised on the above – First floor,",1
Has applied for a Common Victualler License to be exercised on the above – First floor;,1
"Has applied for a Common Victualler License to be exercised on the above – Food court, coffee",1
Has applied for a Common Victualler License to be exercised on the above – Front dining,1
Has applied for a Common Victualler License to be exercised on the above – Ground,1
"Has applied for a Common Victualler License to be exercised on the above – Ground floor ; 4,060 SF cafe",1
Has applied for a Common Victualler License to be exercised on the above – Ground floor consisting of seating,1
"Has applied for a Common Victualler License to be exercised on the above – Ground floor consisting of seating area,",1
"Has applied for a Common Victualler License to be exercised on the above – Ground floor, open",1
"Has applied for a Common Victualler License to be exercised on the above – Ground level, front",1
Has applied for a Common Victualler License to be exercised on the above – Hynes,1
"Has applied for a Common Victualler License to be exercised on the above – In 2 rooms,",1
Has applied for a Common Victualler License to be exercised on the above – In four (4) rooms on,1
Has applied for a Common Victualler License to be exercised on the above – In four (4) rooms on the,1
Has applied for a Common Victualler License to be exercised on the above – In one room on the first,1
Has applied for a Common Victualler License to be exercised on the above – In three (3),1
Has applied for a Common Victualler License to be exercised on the above – In two rooms on,1
Has applied for a Common Victualler License to be exercised on the above – In two rooms on the group,1
Has applied for a Common Victualler License to be exercised on the above – In whole of,1
Has applied for a Common Victualler License to be exercised on the above – Kiosk in the lobby,1
"Has applied for a Common Victualler License to be exercised on the above – Kitchen ,",1
Has applied for a Common Victualler License to be exercised on the above – Minor,1
"Has applied for a Common Victualler License to be exercised on the above – Narrow, approx. 500 Sq.",1
Has applied for a Common Victualler License to be exercised on the above – On one floor with 2,1
"Has applied for a Common Victualler License to be exercised on the above – One floor ,",1
"Has applied for a Common Victualler License to be exercised on the above – One floor 1,400SF.    Upon",1
Has applied for a Common Victualler License to be exercised on the above – One room on the,1
Has applied for a Common Victualler License to be exercised on the above – Open concept kitchen,1
Has applied for a Common Victualler License to be exercised on the above – Open floor,1
Has applied for a Common Victualler License to be exercised on the above – Park concession,1
Has applied for a Common Victualler License to be exercised on the above – Premise 1415 Tremont,1
Has applied for a Common Victualler License to be exercised on the above – Restaurant on,1
Has applied for a Common Victualler License to be exercised on the above – Restaurant on two,1
Has applied for a Common Victualler License to be exercised on the above – Stall in a food hall.,1
Has applied for a Common Victualler License to be exercised on the above – Street,1
Has applied for a Common Victualler License to be exercised on the above – customers',1
Has applied for a Common Victualler License to be exercised on the above- Entry level coffee shop,1
Has applied for a Common Victualler License to be exercised on the above-Tea house,1
Has applied for a Common Victualler License to be exercised on the above. Tea house,1
Has applied for a Common Victualler License to be exercised on the above:  Cafeteria on 3rd floor,1
Has applied for a Common Victualler License to be exercised on the above:  Coffee / smoothie /,1
Has applied for a Common Victualler License to be exercised on the above:  Coffee shop with,1
"Has applied for a Common Victualler License to be exercised on the above:  First floor, 816SF,",1
Has applied for a Common Victualler License to be exercised on the above:  Food hall,1
Has applied for a Common Victualler License to be exercised on the above:  In one big room on the,1
Has applied for a Common Victualler License to be exercised on the above:  Located in Foundation,1
Has applied for a Common Victualler License to be exercised on the above: Dining,1
Has applied for a Common Victualler License to be exercised on the above: First floor,1
Has applied for a Common Victualler License to be exercised on the above: First floor with dining,1
"Has applied for a Common Victualler License to be exercised on the above: Ground floor, appx.",1
Has applied for a Common Victualler License to be exercised on the above: In one room on the first,1
"Has applied for a Common Victualler License to be exercised on the above: One floor, kitchen and",1
Has applied for a Common Victualler License to be exercised on the above: One room on the first,1
Has applied for a Common Victualler License to be exercised on the above: Restaurant,1
Has applied for a Common Victualler License to be exercised on the above: Stall in Faneuil Hall,1
"Has applied for a Common Victualler License to be exercised on the above: Street level retail,",1
Has applied for a Common Victualler Wines and Malt Beverages with Liqueurs License to be exercised,1
Has applied for a Dormitory License to be exercised on the above - 14 story building.,1
Has applied for a Dormitory License to be exercised on the above - Five Story building with 6 rooms in,1
Has applied for a Farmer Brewery (Beer Only) Pouring License and Common,1
Has applied for a Farmer Brewery (Malt Beverages Only) Pouring License and,1
Has applied for a Farmer Brewery (Malt Beverages Only) Pouring License to be,1
Has applied for a Farmer Brewery (Malt Only) Pouring License to be exercised on the above – Premise,1
Has applied for a Farmer Brewery (Malt Only) Pouring License to be exercised on the above – Single,1
Has applied for a Farmer Brewery Pouring License to be exercised on the above   The brewery is,1
Has applied for a Farmer Brewery Pouring License to be exercised on the above -In,1
Has applied for a Farmer Distillery Pouring License to be exercised on the above   The distillery is,1
Has applied for a Farmer Distillery Pouring License to be exercised on the above - The,1
Has applied for a Farmer Winery (Wine only) Pouring License to be exercised on the,1
Has applied for a Farmer Winery Pouring License to be exercised on the above   The winery production,1
Has applied for a Farmer Winery Pouring License to be exercised on the above - In one,1
Has applied for a Farmer Winery Pouring License to be exercised on the above - In one large room,1
Has applied for a Farmer-Brewery Pouring License to be exercised on the above - In,1
Has applied for a Farmers Winery (Wine Only) Pouring License to be exercised on the above – In one,1
Has applied for a Fortune Teller License to be exercised at the above : a retail shop located at 373-375,1
Has applied for a Fortune Teller License to be exercised on the above - One room 600SF with retail,1
Has applied for a General On Premise 7 Day All-Alcohol Beverages License to be exercised on the,1
Has applied for a General On Premise All-Alcoholic Beverages License to be exercised on the above - In the entirety of,1
Has applied for a General On-Premises Wines and Malt Beverages with Liqueurs License to be,1
Has applied for a Innholder License to be exercised on the above - In Whole of South Tower located at,1
Has applied for a Innholder No Liquor License to be exercised on the above - 15 story,1
Has applied for a Innholder No Liquor License to be exercised on the above.  130,1
Has applied for a Lodging House (Dormitory) License to be exercised on the above - 4-story,1
Has applied for a Lodging House License consisting of a four-story Floor building with 15 rooms and,1
Has applied for a Lodging House License to be exercised on the above   This is a 6 level,1
Has applied for a Lodging House License to be exercised on the above  - 4 story building with 3 rooms,1
Has applied for a Lodging House License to be exercised on the above - 10 units on five floors. 2,1
Has applied for a Lodging House License to be exercised on the above - 16 Unit Single Room,1
Has applied for a Lodging House License to be exercised on the above - 3 -Story Building with 3 rooms,1
Has applied for a Lodging House License to be exercised on the above - 3 story building with 11,1
Has applied for a Lodging House License to be exercised on the above - 3 story building with retail,1
Has applied for a Lodging House License to be exercised on the above - 3-Story building. Total # of,1
Has applied for a Lodging House License to be exercised on the above - 4 Story Building with 10,1
Has applied for a Lodging House License to be exercised on the above - 4 story building with 3 rooms,1
Has applied for a Lodging House License to be exercised on the above - 6 Story building. 3 rooms,1
Has applied for a Lodging House License to be exercised on the above - Fenway Lodging House is a,1
Has applied for a Lodging House License to be exercised on the above - Five story building with 2,1
Has applied for a Lodging House License to be exercised on the above - Four story building with,1
Has applied for a Lodging House License to be exercised on the above - Three-Story building with 6,1
Has applied for a Lodging House License to be exercised on the above ‑ 2 1/2 Story with 7,1
Has applied for a Lodging House License to be exercised on the above ‑ 6 rooms on the first floor.,1
Has applied for a Lodging House License to be exercised on the above ‑ Four story Building.,1
Has applied for a Lodging House License to be exercised on the above: 5 story building with 2 rooms,1
Has applied for a Lodging House consisting of a five-story building with 5 floors and 5 residents.,1
Has applied for a Lodging House/Dormitory License to be exercised on the above - 60 Belvidere is one,1
Has applied for a Lodging Houses (Fraternity/Dormitory) License to be,1
Has applied for a Lodging Houses (Fraternity/Dormitory) License to be exercised on the above - Four,1
Has applied for a Lodging Houses License to be exercised on the above   5 story town,1
Has applied for a Pool Table License to be exercised on the above- On first floor of mixed use,1
Has applied for a Retail Package Store All Alcohol License to be exercised on the above -,1
Has applied for a Retail Package Store All Alcoholic Beverages License to be exercised on the above –,1
Has applied for a Retail Package Store All-Alcohol Beverages License to be exercised on the above -,1
Has applied for a Retail Package Store All-Alcoholic Beverages License to be exercised on,1
Has applied for a Retail Package Store All-Alcoholic Beverages License to be exercised on the above –,1
Has applied for a Retail Package Store All-Alcoholic Beverages License to be exercised on the above – in,1
Has applied for a Retail Package Store All‑Alcoholic Beverages License to be exercised on the above –,1
Has applied for a Retail Package Store Wine and Malt Beverages License to be,1
Has applied for a Retail Package Store Wine and Malt Beverages License to be exercised on,1
Has applied for a Retail Package Store Wines and Malt Beverages License to be exercised,1
Has applied for a Retail Package Store Wines and Malt Beverages License to be exercised on,1
Has applied for a Retail Package Store Wines and Malt Beverages License to be exercised on the above – 1 story,1
Has applied for a license to operate fourteen (14) Bowling Lanes on the above premises Dining,1
Has applied for a license to operate two (2) Bowling Lanes on the above premises - Premise A.K.A. 327,1
Has applied for a new Common Victualler license to be exercised on the above ‑ On the third,1
Has applied for a one day amendment to  existing license to include the contiguous courtyard for,1
Has applied for a one day amendment to existing License to include a “Beer Festival” in a separate,1
Has applied for a one day amendment to existing License to include extending license into The Annex,1
Has applied for a one day amendment to existing license for amended hours from 6:30 p.m. - 10:00,1
Has applied for a one day amendment to existing license to extend into the Speedway Annex for a baby,1
Has applied for a one day amendment to existing license to extend their licensed premise to include,1
Has applied for a one day amendment to existing license to include  a contiguous outdoor viewing,1
Has applied for a one day amendment to existing license to include 1 Beer Stand on Van Ness St for the,1
Has applied for a one day amendment to existing license to include Garage B and the walkway to,1
Has applied for a one day amendment to existing license to include a Temporary Second Bar Set-Up on,1
Has applied for a one day amendment to existing license to include a bar closure of 1:30 a.m. for the,1
Has applied for a one day amendment to existing license to include a contiguous outdoor viewing,1
Has applied for a one day amendment to existing license to include a later bar closure time for a,1
Has applied for a one day amendment to existing license to include a month long Patio Extension on,1
Has applied for a one day amendment to existing license to include a patio extension on October 1 -,1
Has applied for a one day amendment to existing license to include a request the closing hour at 12:00,1
Has applied for a one day amendment to existing license to include a request to extend onto Lansdowne,1
Has applied for a one day amendment to existing license to include a “Patio Extension” on September,1
Has applied for a one day amendment to existing license to include allowing the sale of alcohol outside on,1
Has applied for a one day amendment to existing license to include amending the opening hour one,1
Has applied for a one day amendment to existing license to include an earlier start time for the Patriots,1
Has applied for a one day amendment to existing license to include an early alcohol service time for,1
Has applied for a one day amendment to existing license to include an extension of hours for a Wedding,1
Has applied for a one day amendment to existing license to include early alcohol service to,1
Has applied for a one day amendment to existing license to include extending closing by one hour for a,1
Has applied for a one day amendment to existing license to include extending closing time for a DJ and,1
Has applied for a one day amendment to existing license to include extending closing time one hour  to,1
Has applied for a one day amendment to existing license to include extending closing time to 1 a.m. on,1
Has applied for a one day amendment to existing license to include extending from the Notch,1
Has applied for a one day amendment to existing license to include extending into the Annex for a,1
Has applied for a one day amendment to existing license to include extending into the Ray Flynn,1
Has applied for a one day amendment to existing license to include extending into the contiguous,1
Has applied for a one day amendment to existing license to include extending into the contiguous space,1
Has applied for a one day amendment to existing license to include extending license into the Annex for,1
Has applied for a one day amendment to existing license to include extending license onto contiguous,1
Has applied for a one day amendment to existing license to include extending license to contiguous,1
Has applied for a one day amendment to existing license to include extending license to encompass,1
Has applied for a one day amendment to existing license to include extending license to the 30x90 SF,1
Has applied for a one day amendment to existing license to include extending license to the Arena Floor,1
Has applied for a one day amendment to existing license to include extending license to the annexed,1
Has applied for a one day amendment to existing license to include extending onto Batterymarch Arm,1
Has applied for a one day amendment to existing license to include extending onto Commonwealth,1
Has applied for a one day amendment to existing license to include extending onto contiguous outdoor,1
Has applied for a one day amendment to existing license to include extending onto contiguous space for a,1
Has applied for a one day amendment to existing license to include extending onto private patio space,1
Has applied for a one day amendment to existing license to include extending onto the area directly in,1
Has applied for a one day amendment to existing license to include extending onto the contiguous space,1
Has applied for a one day amendment to existing license to include extending onto the lawn for a,1
Has applied for a one day amendment to existing license to include extending onto the parking lots,1
Has applied for a one day amendment to existing license to include extending the license into Garage B,1
Has applied for a one day amendment to existing license to include extending the license out to the,1
Has applied for a one day amendment to existing license to include extending the service of alcohol,1
Has applied for a one day amendment to existing license to include extending the service of alcoholic,1
Has applied for a one day amendment to existing license to include extending their license into the,1
Has applied for a one day amendment to existing license to include extending their license to include,1
Has applied for a one day amendment to existing license to include extending to contiguous space,1
Has applied for a one day amendment to existing license to include extending to the contiguous space,1
Has applied for a one day amendment to existing license to include extension of closing hours for a,1
Has applied for a one day amendment to existing license to include extension of license to outdoor patio,1
Has applied for a one day amendment to existing license to include extension of premise out onto,1
Has applied for a one day amendment to existing license to include extension of premise to The Birch,1
Has applied for a one day amendment to existing license to include extension to contiguous patio space,1
Has applied for a one day amendment to existing license to include outdoor approved WS Courtyard,1
Has applied for a one day amendment to existing license to include patio seating for Madonna Della,1
Has applied for a one day amendment to existing license to include service in the adjacent parking lot,1
Has applied for a one day amendment to existing license to include the contiguous annex space for a,1
Has applied for a one day amendment to existing license to include the contiguous space next to Sam,1
Has applied for a one day amendment to existing license to include the contiguous space of the Upper,1
Has applied for a one day amendment to existing license to include the contiguous space of the upper,1
Has applied for a one day amendment to existing license to include the courtyard that extends from the,1
Has applied for a one day amendment to existing license to include the event space on the roof of,1
Has applied for a one day amendment to existing license to include the lawn just off their patio for,1
Has applied for a one day amendment to existing license to include the outdoor parking lot area for a a,1
Has applied for a one day amendment to existing license to include the outside courtyard for a Vendor,1
Has applied for a one day amendment to existing license to include the parking lots surrounding the,1
Has applied for a one day amendment to existing license to include the upper rotunda of Quincy Market,1
Has applied for a one day amendment to existing license to include the use of the contiguous parking lot,1
Has applied for a one day amendment to existing license to include their Brighton Bazaar Vendor,1
Has applied for a one day amendment to include the contiguous dead end street for “Oyster Fest” on,1
Has applied for a series of one day amendments to exist license to include extending use of their,1
Has applied for a(n) After Work Outing at:,1
Has applied for a(n) Anniversary Reception at:,1
Has applied for a(n) Beer Garden at a Community Event at:,1
Has applied for a(n) Beer Garden at:,1
Has applied for a(n) Block Party Fundraiser at:,1
Has applied for a(n) Caribbean Rum + Food Festival at:,1
Has applied for a(n) Charity Music Event at:,1
Has applied for a(n) Community Picnic at:,1
Has applied for a(n) Concert at:,1
Has applied for a(n) Concert/Celebration at:,1
Has applied for a(n) Concert/Networking at:,1
Has applied for a(n) Fall Festival at:,1
Has applied for a(n) Fashion Show at:,1
Has applied for a(n) Gallery Reception at:,1
Has applied for a(n) Green Building Showcase at:,1
Has applied for a(n) Happy Hour Social at:,1
Has applied for a(n) Jazz Concert/Global Jazz at:,1
"Has applied for a(n) Labor Day ""Block Party"" Opening Preview at:",1
Has applied for a(n) New Faculty Welcome Reception at:,1
Has applied for a(n) Performance/The Bodyguard at:,1
"Has applied for a(n) Performance/The Bodyguard at: 45 Fairmount Ave., Hyde Park, MA 02136",1
Has applied for an (Airport) All-Alcoholic Beverages License to be exercised on the above – Logan,1
Has applied for an (Airport) Club All‑Alcoholic Beverages License to be exercised on the above,1
Has applied for an (Airport) Common Victualler 7 Day All Alcohol Beverages License to,1
Has applied for an (Airport) Common Victualler 7 Day All- Alcoholic Beverages License to be,1
Has applied for an (Airport) Common Victualler 7 Day All-Alcohol Beverages License to be,1
Has applied for an (Airport) Common Victualler 7 Day All-Alcohol Beverages License to be exercised on,1
Has applied for an General On Premise 7 Day All-Alcohol Beverages License to be exercised on the,1
Has applied for an Innholder (No Alcohol) License to be exercised on the above - Bouquet art themed,1
Has applied for an Innholder All-Alcohol Beverages License to be exercised on the above – The total,1
Has applied for an Innholder All-Alcoholic Beverages License to be exercised on the above,1
Has applied for an Innholder All-Alcoholic Beverages License to be exercised on the above – Premise,1
Has applied for an Innholder All-Alcoholic Beverages License to be exercised on the above – a 35,1
Has applied for an Innholder License at a previously licensed location. 304 Newbury Street is a,1
"Has applied for an Innholder License to be exercised on the above ‑ Four story building, Floor",1
"Has applied for an Innholders License at a previously licensed location. Hotel with 178 Guest Rooms,",1
Has applied for an extension of operating hours for a Mini Music Festival leading into Boston Calling,1
Has applied for an extension of operating hours for the annual Sam Adams Oktoberfest on September,1
Has applied one day amendment to existing license to include extending license onto the,1
Has applied to Change the d/b/a of the licensed business From: Zander Realty Group To: Lenhoff,1
"Has applied to change the manager and officer  From -Charles Garabedian-Manager,",1
"Has applied to make changes to their Officers. From: Matthew Thall, Mia Jean-Sicard, and Nikki",1
"Has petitioned for Change of Manager From: Kathleen Mawn To: Samantha E. Jimenez. Secondly, a",1
Has petitioned for a change of officers within the corporation.,1
Has petitioned to change the corporation name From: Banbhk Mi Ok To: QVT,1
"Has petitioned to change the d/b/a From: Kim’s Tofu, To: Underdog Hot Chicken.",1
"Hatishkumar Patel, Manager. 11:00 PM Closing Hour. Updating the description of premise as follows:",1
"Haughey (VP Retail Manager), James Mclaughlin (President/CEO), Cammie McLeod (CFO) and",1
"Haymarket Pushcart Association space and +/- 1,776 square feet of Shared Trash Space,",1
"Hearing Date: August 7, 2024",1
"Hearing Date: December 11, 2024​",1
"Hearing Date: February 12, 2025",1
"Hearing Date: January 8, 2025​",1
"Hearing Date: March 5, 2024",1
"Hearing Date: November 13, 2024​",1
"Hearing Date: September 26, 2024",1
"Hearing Date: Tuesday, October 5, 2021",1
"Hearing Date: Wednesday, October 6, 2021",1
"Hearing Time: February 26, 2025",1
Heather Claxton- Officer. To- Mark Levine-Manager & Vipin Singh-Officer. Secondly,1
"Heather Kim, Manager of Record. Hours of Operation: 10:00AM - 9:00PM.",1
"Hefco Invest, LLC d/b/a Tokava, 597-605 Centre Street, Jamaica Plain, MA 02130. Coffee shop",1
"Hello Yummy, LLC d/b/a Hello Yummy, 1 Brighton Ave, Unit 4. (aka 1095 Comm. Ave,)",1
"Henry D Vera, III",1
Henry Nguyen (13.02% Shares ),1
Hernandez as manager of record. In one room on the first floor with kitchen in the rear,1
"Hersha Concessions Associates, LLC d/b/a The Envoy Hotel, 70 Sleeper St, Boston, MA,",1
"High St., Boston, MA 02110, License #: LB-99306, notifying the Board that it has entered into a new",1
High table seating area at the front and service station in the center. Kitchen and prep area in the center,1
"Hill (same location). Kristin Jenkins, Manager. Closing hour 11:00 PM.  Lastly, has",1
"Hill Avenue, Dorchester, MA 02121. First floor kitchen with dining room and",1
"Hippo Kitchen, Inc.",1
Hiren Boston LLC,1
"Hojoko, LLC d/b/a Verb Hotel, 1271-1275 Boylston Street, holder of an Innholder All-Alcoholic",1
Holder Retail Package Wines & Malt License has petitioned to transfer the license,1
Holder of Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to,1
Holder of Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to Pledge the,1
Holder of Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to transfer the,1
Holder of Common Victualler 7 Day Wines and Malt Beverages License has petitioned to Pledge the,1
Holder of General On Premise All-Alcoholic Beverages License has petitioned to Pledge the License,1
Holder of Innholder All Alcoholic Beverages License has petitioned to pledge the license,1
Holder of Innholder All-Alcoholic Beverages License has petitioned to change the manager of the,1
Holder of Retail Package Store All Alcohol License has petitioned to change the,1
Holder of Retail Package Store All-Alcohol License has petitioned to transfer the license and,1
Holder of Retail Package Store Wine & Malt License has petitioned to change the,1
Holder of a  Common Victualler 7 Day All Alcoholic Beverages License has petitioned to pledge the,1
Holder of a (Bolling Building Restricted) Common Victualler 7 Day All-Alcoholic Beverages License,1
Holder of a (Neighborhood Restricted) Common Victualler 7 Day All,1
Holder of a (Neighborhood Restricted) Common Victualler 7 Day All Alcoholic,1
Holder of a (Neighborhood Restricted) Common Victualler 7 Day All Alcoholic Beverages License,1
Holder of a (Neighborhood Restricted) Common Victualler 7 Day Wines and Malt Beverages License has,1
Holder of a (Neighborhood Restricted) Common Victualler 7 Day Wines and Malt w/,1
Holder of a (Neighborhood Restricted) Innholder All -Alcohol License has petitioned to change,1
Holder of a (Neighborhood Restricted) Innholder All Alcohol License has petitioned to,1
Holder of a (Restricted) Common Victualler 7 Day All-Alcoholic Beverages License has,1
Holder of a (Restricted) Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to,1
Holder of a (Restricted) Common Victualler 7 Day All-Alcoholic Beverages License has petitioned to amend,1
Holder of a (Restricted) Common Victualler 7 Day Malt and Wines Alcoholic Beverages,1
Holder of a (Restricted) Common Victualler 7 Day Wine and Malt Beverages license has,1
Holder of a (Restricted) Common Victualler 7 Day Wines & Malt Beverages License has,1
Holder of a (Restricted) Common Victualler 7 Day Wines and Malt Beverages License,1
Holder of a (Restricted) Common Victualler 7 Day Wines and Malt Beverages License has,1
Holder of a (Restricted) Common Victualler 7 Day Wines and Malt Beverages with Liqueurs License,1
Holder of a (Restricted) Common Victualler 7 Day Wines and Malt w/ Liqueurs,1
Holder of a (Restricted) General on Premises All-Alcoholic Beverages License has petitioned to,1
Holder of a (Restricted) General on Premises All-Alcoholic Beverages License has petitioned to change,1
Holder of a (Restricted) Innholder All‑Alcoholic Beverages License has petitioned for a change,1
Holder of a (South Bay Restricted) Common Victualler 7 Day All-Alcoholic Beverages License has,1
Holder of a (South Bay Restricted) Common Victualler 7 Day All‑Alcoholic Beverages License,1
Holder of a 19B Farmer Winery Pouring License has petitioned for a Change of Officers/Directors.,1
Holder of a 19B Farmer Winery Pouring License has petitioned to change the manager of the licensed,1
Holder of a 19C Farmer Brewery Pouring License has petitioned for a Change of Officers/Directors.,1
Holder of a 19C Farmer Brewery Pouring License has petitioned to change the manager of the licensed,1
Holder of a 19E Farmer Distillery Pouring License has petitioned to change the manager of the licensed,1
Holder of a 19H (Wines and Malts) Combined Pouring License has petitioned for a Change of,1
"Holder of a 19H (Wines, Malts, Distillery) Combined Pouring License has petitioned to change the",1
